Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-05-15 21:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,NORTHERN,JUVENILE BOOKED,EDDY ST / GOUGH ST,-122.424109315506,37.7824756422543
2003-05-15 21:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,INGLESIDE,NONE,0 Block of BERKELEY WY,-122.437940300759,37.7387967222868
2003-05-15 21:30:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,MISSION,NONE,400 Block of JERSEY ST,-122.43513047054701,37.750371689461005
2003-05-15 21:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,TENDERLOIN,NONE,EDDY ST / HYDE ST,-122.415885065795,37.7835160563924
2003-05-15 21:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,400 Block of FREDERICK ST,-122.45213871249099,37.7664248204675
2003-05-15 21:30:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Thursday,NORTHERN,JUVENILE BOOKED,EDDY ST / GOUGH ST,-122.424109315506,37.7824756422543
2003-05-15 21:30:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,CENTRAL,NONE,300 Block of LOMBARD ST,-122.40711699796499,37.8036194271937
2003-05-15 21:14:00,ARSON,ARSON OF A VEHICLE,Thursday,MISSION,NONE,15TH ST / MINNA ST,-122.41907475496201,37.7667189830285
2003-05-15 21:11:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,NORTHERN,UNFOUNDED,1500 Block of EDDY ST,-122.43317781626699,37.7813758100318
2003-05-15 21:10:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Thursday,BAYVIEW,NONE,1900 Block of 25TH ST,-122.39748691567101,37.752197092814
2003-05-15 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,1200 Block of ARGUELLO BL,-122.457710073927,37.7656873491296
2003-05-15 21:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,CENTRAL,NONE,1000 Block of PINE ST,-122.413095913657,37.790511704938
2003-05-15 21:00:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Thursday,INGLESIDE,NONE,FRANCE AV / NAPLES ST,-122.433554653823,37.717743392825
2003-05-15 21:00:00,TRESPASS,TRESPASSING,Thursday,NORTHERN,"ARREST, CITED",1700 Block of CALIFORNIA ST,-122.423156806774,37.7902088255652
2003-05-15 21:00:00,LOITERING,LOITERING,Thursday,NORTHERN,"ARREST, CITED",1700 Block of CALIFORNIA ST,-122.423156806774,37.7902088255652
2003-05-15 21:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE,200 Block of DUNCAN ST,-122.42577435602301,37.7462234810272
2003-05-15 21:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,HUGO ST / 3RD AV,-122.459954281872,37.7652552122008
2003-05-15 20:51:00,ARSON,ARSON OF AN INHABITED DWELLING,Thursday,TARAVAL,NONE,4400 Block of IRVING ST,-122.50553749562799,37.76236308781471
2003-05-15 20:50:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Thursday,RICHMOND,NONE,0 Block of CLEMENT ST,-122.4595747339,37.7831072415265
2003-05-15 20:50:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,RICHMOND,NONE,0 Block of CLEMENT ST,-122.4595747339,37.7831072415265
2003-05-15 20:43:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.413564091744,37.779514030063
2003-05-15 20:43:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Thursday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.413564091744,37.779514030063
2003-05-15 20:40:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,SOUTHERN,"ARREST, CITED",9TH ST / TEHAMA ST,-122.412629548361,37.7745645438535
2003-05-15 20:30:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,SOUTHERN,NONE,MARKET ST / VALENCIA ST,-122.422622494531,37.7725038687501
2003-05-15 20:30:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,RICHMOND,COMPLAINANT REFUSES TO PROSECUTE,600 Block of 29TH AV,-122.48887597723301,37.7770182739733
2003-05-15 20:24:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,TENDERLOIN,"ARREST, BOOKED",400 Block of JONES ST,-122.412993783039,37.78556296952871
2003-05-15 20:24:00,WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",400 Block of JONES ST,-122.412993783039,37.78556296952871
2003-05-15 20:21:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,BAYVIEW,"ARREST, BOOKED",3RD ST / NEWCOMB AV,-122.39041695551701,37.7355926106176
2003-05-15 20:20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,5TH ST / MARKET ST,-122.40806834515499,37.783991676793214
2003-05-15 20:20:00,VEHICLE THEFT,TAMPERING WITH A VEHICLE,Thursday,SOUTHERN,NONE,0 Block of JESSIE ST,-122.399478336806,37.789267164640606
2003-05-15 20:08:00,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,MISSION,"ARREST, BOOKED",1200 Block of HAMPSHIRE ST,-122.40714465605,37.7520972558707
2003-05-15 20:00:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,RICHMOND,NONE,200 Block of 10TH AV,-122.46883990306299,37.7836648257707
2003-05-15 20:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,NORTHERN,"ARREST, BOOKED",400 Block of FULTON ST,-122.42583948035299,37.7784863750012
2003-05-15 20:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,NONE,800 Block of EXCELSIOR AV,-122.426817612996,37.723056250776
2003-05-15 20:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,INGLESIDE,NONE,800 Block of EXCELSIOR AV,-122.426817612996,37.723056250776
2003-05-15 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,600 Block of ALABAMA ST,-122.412056242405,37.76098990891421
2003-05-15 20:00:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,NORTHERN,UNFOUNDED,1400 Block of STEINER ST,-122.434189563986,37.7826346137885
